# Question: What are the top 10 customers by revenue?
# Generated: query_results_20251014_144112
#
CustomerKey,CustomerId,CompanyName,AnnualRevenue,LifetimeRevenue
943,CUST00792,Morales Inc,494242874.00,4345442.00
859,CUST00708,Ballard Ltd,481967957.00,5941433.00
1069,CUST00918,Ward-Nelson,474603245.00,2870282.00
467,CUST00316,Stein-Silva,473033143.00,3000316.00
742,CUST00591,Ortiz-Morgan,462591729.00,3916420.00
492,CUST00341,Sanders-Espinoza,460351294.00,4517517.00
549,CUST00398,Lyons-Bender,457446987.00,7447582.00
842,CUST00691,"Mendoza, Jenkins and Ortiz",454810263.00,6617737.00
1005,CUST00854,"Ramsey, Hansen and Mendoza",448462361.00,4327231.00
667,CUST00516,Lam LLC,439842749.00,4081865.00
