# Question: Which industries do these top customers belong to?
# Generated: query_results_20251014_145028
#
Customer ID,Company Name,Annual Revenue,Industry Name,Industry Sector,Industry Group
CUST00792,Morales Inc,494242874.00,Manufacturing,Manufacturing,Industrial
CUST00708,Ballard Ltd,481967957.00,Real Estate Development,Real Estate,Real Estate
CUST00918,Ward-Nelson,474603245.00,Retail Trade,Retail,Retail
CUST00316,Stein-Silva,473033143.00,Commercial Construction,Construction,Construction
CUST00591,Ortiz-Morgan,462591729.00,Healthcare Services,Healthcare,Healthcare
CUST00341,Sanders-Espinoza,460351294.00,Manufacturing,Manufacturing,Industrial
CUST00398,Lyons-Bender,457446987.00,Real Estate Development,Real Estate,Real Estate
CUST00691,"Mendoza, Jenkins and Ortiz",454810263.00,Manufacturing,Manufacturing,Industrial
CUST00854,"Ramsey, Hansen and Mendoza",448462361.00,Software & IT Services,Technology,Technology
CUST00516,Lam LLC,439842749.00,Commercial Construction,Construction,Construction
